author_id,created_at,id,source,text
1244819016205488128,2020-10-07T12,1313824618365415424,Twitter for Android, omnibus law gimnaa dree?
41982715,2020-10-07T12,1313824611168116737,IFTTT,"Live d'Rooftalk! 'Omnibus Law Cipta Kerja, Kerja, Kerja' "
100678061,2020-10-07T12,1313824610127810561,Twitter for iPhone,"Meski sdh diluruskan bbrp hoax mengenai UU ciptaker ini, tapi tetap sj UU ini kontroversial. Ga ada alasan buat memaklumi sih. cmiiw. Soalnya kalo diliat dari sightnya pengusaha, ini tuh jackpotnya mereka tau "
1275754742405185536,2020-10-07T12,1313824598228496385,TweetCaster for Android,Aslii ini ko pada bloon sih beda orang yg laen bahas omnibus law lah blitar nurunin kapolres wkwk  
1117418901082492928,2020-10-07T12,1313824596194332672,Twitter for Android, Omnibus law adalah kata kunci tidak adanya lagi cebong dan kampret.
980685208969031680,2020-10-07T12,1313824567924678662,Twitter for Android,Omnibus Law sdh disahkan... Semoga terealisasi investasi2 yg diharapkan... Lapangan kerja bakal bnyk tersedia... Buruh yg hobby demo apalg smp melakukan pengrusakan diPHK aja &amp; namanya diblack-list di Asosiasi Pengusaha... Biar selanjutnya mereka bergabung dgn Pasukan Nasbung...
1238376150155399168,2020-10-07T12,1313824567006121985,Twitter for iPad,UU Omnibuslaw akan membuka lapangan pekerjaan baru seiring bertambahnya investasi yang masuk.
1309988451173818368,2020-10-07T12,1313824561016705025,Twitter for Android, Itu Vidio KUHP dong bukan OMNIBUSLAW
1313743766717517825,2020-10-07T12,1313824553970278400,Twitter for iPhone, GAGALKAN OMNIBUS LAW
1190807906658074624,2020-10-07T12,1313824551239774208,Twitter for Android, Semangat san stay safe kamuuu TOLAK RUU CIPTA KERJA 
746337803584167940,2020-10-07T12,1313824551151693824,Twitter Web App,Gapapa gais demo aja dulu Hoax hoax masalah belakangan JEGAL SAMPE GAGAL TOLAK RUU OMNIBUSLAW! RUU KOK TENGAH MALEM? LO MAU NGEPET YA??
143825236,2020-10-07T12,1313824546558865414,Twitter for Android,Bantu viralkan... 
1252527571838754825,2020-10-07T12,1313824545464147968,Twitter for Android,"BURUHKU SAYANG, BURUHKU MALANG Viral pembahasan berkenaan dengan Omnibus Law. Undang-undang yang disahkan oleh anggota dewan yang katanya terhormat, namun sejatinya \u2018terlaknat\u2019 menyisakan kepiluan bagi puluhan juta buruh di negeri ini. Bagaimana tidak, tidak sedikit dari mere "
310636178,2020-10-07T12,1313824528418525187,Twitter for Android,Ini orang2 yg bacot sok tau trus pretelin isi omnibus law emang pada ga punya temen dan kesepian apa ya??
173298827,2020-10-07T12,1313824509204471810,Twitter for Android,"Para ahli hukum, mohon penjelasan terkait omnibus law, saya takut salah mengartikan"
83745874,2020-10-07T12,1313824505224073217,Twitter for Android,"Btw, omnibus law emang bikin esmosi setengah mati. Jadi, jangan lupa bernafas ya! Kalau mulai kerasa rieut, ambil nafas 4 detik pake hidung, tahan 7 detik, buang nafas pake mulut 8 detik. Selamat mencoba! Semoga berguna "
1131352537,2020-10-07T12,1313824504003600384,Echobox,"Asian Insider, Oct 7"
